date,value
0,0.0
1,0.14957353518524352
2,0.2981939409794875
3,0.44491498360464377
4,0.5888041669355655
5,0.728949467825079
6,0.8644659124299208
7,0.9945019425317372
8,1.1182455225353751
9,1.2349299399107863
10,1.34383925430797
11,1.4443133533964065
12,1.5357525766383087
13,1.617621871673045
14,1.6894544517398855
15,1.7508549265672742
16,1.8015018833764798
17,1.841149899051294
18,1.8696309690776074
19,1.886855343520014
20,1.8928117650391845
21,1.8875671087249724
22,1.8712654282872907
23,1.8441264178709362
24,1.8064433034033445
25,1.7585801819080156
26,1.7009688315843758
27,1.634105019631673
28,1.5585443387463638
29,1.4748976069173612
30,1.3838258685516196
31,1.286035038056436
32,1.182270229759607
33,1.0733098204421885
34,0.9599592927719597
35,0.8430449095428101
36,0.7234072698335109
37,0.6018947989893313
38,0.47935722469584047
39,0.3566390913536455
40,0.23457336447677168
41,0.11397517593059903
42,-0.004364240494311722
43,-0.11968337539701135
44,-0.23125598630155886
45,-0.33839631322110025
46,-0.4404639268826552
47,-0.5368681723925439
48,-0.6270721745679861
49,-0.7105963748747717
50,-0.7870215738631384
51,-0.8559914571510565
52,-0.9172145873315452
53,-0.970465848642356
54,-1.0155873357954408
55,-1.052488682982215
56,-1.0811468337104926
57,-1.1016052567518029
58,-1.1139726180452845
59,-1.1184209228789286
60,-1.1151831470135825
61,-1.1045503795941887
62,-1.0868685046717215
63,-1.0625344519056124
64,-1.0319920504993711
65,-0.9957275236130976
66,-0.9542646633695911
67,-0.9081597291024374
68,-0.8579961136641738
69,-0.8043788244029755
70,-0.7479288268128191
71,-0.689277299853792
72,-0.629059852518337
73,-0.5679107513815791
74,-0.5064572086185739
75,-0.44531377930116056
76,-0.38507691570806446
77,-0.3263197249036409
78,-0.26958697397590914
79,-0.21539038508941877
80,-0.1642042599220781
81,-0.11646147013941333
82,-0.07254984733957026
83,-0.032809002404980525
84,0.0024723995484152717
85,0.03305888639458321
86,0.05876993030733957
87,0.07948118936217419
88,0.09512523003835027
89,0.10569172570731411
90,0.1112271307080358
91,0.11183383412346837
92,0.10766880184702521
93,0.09894171992616452
94,0.08591265645504098
95,0.06888926342360857
96,0.048223543882053965
97,0.02430821351357282
98,-0.002427310805748817
99,-0.03152125967344627
100,-0.062484158363865006
101,-0.09480373130443615
102,-0.12795002033816494
103,-0.1613806714317325
104,-0.19454634301997087
105,-0.2268961881061965
106,-0.2578833615733499
107,-0.2869705039083507
108,-0.3136351527042788
109,-0.33737503388015566
110,-0.3577131855421101
111,-0.37420286879392634
112,-0.38643222157848567
113,-0.39402861377924275
114,-0.3966626643151488
115,-0.3940518838023978
116,-0.3859639095083591
117,-0.3722193027609766
118,-0.35269388267194757
119,-0.32732057395352343
120,-0.29609075072393887
121,-0.2590550624710538
122,-0.21632373274200056
123,-0.16806632561181023
124,-0.11451097951856459
125,-0.055943112598749734
126,0.007296391823997772
127,0.07481350648838136
128,0.14616387072147485
129,0.22085606856446238
130,0.2983553487799656
131,0.3780877571891207
132,0.459444648193006
133,0.5417875390096472
134,0.6244532671330634
135,0.7067594088200315
136,0.7880099140565906
137,0.8675009114699387
138,0.944526635049146
139,1.0183854233343093
140,1.0883857409386062
141,1.1538521718888608
142,1.214131334311064
143,1.2685976664485543
144,1.316659034878716
145,1.3577621170828063
146,1.3913975122125957
147,1.4171045359737144
148,1.4344756579923579
149,1.4431605428295393
150,1.4428696589330683
151,1.4333774232462289
152,1.4145248528963341
153,1.386221699335303
154,1.3484480444664289
155,1.3012553426322282
156,1.2447668968224235
157,1.1791777620518644
158,1.1047540735179857
159,1.0218318018379533
160,0.930814942348417
161,0.8321731500873616
162,0.7264388366296136
163,0.6142037493777308
164,0.49611505818173146
165,0.37287097823902626
166,0.24521596207648194
167,0.11393549700767769
168,-0.02014945223949094
169,-0.15618831304407138
170,-0.2933070412372914
171,-0.4306144766659936
172,-0.5672088684703563
173,-0.7021845190721602
174,-0.8346384947814787
175,-0.963677350261689
176,-1.088423813851443
177,-1.2080233809297616
178,-1.3216507631259717
